W,114,94,46,83,.554,9,17,.529,13,18,.722,16,37,53,23,6,2,13,19,34,83,.410,7,27,.259,19,28,.679,12,21,33,16,7,2,7,17,
L,96,97,39,84,.464,11,26,.423,7,13,.538,11,37,48,27,5,5,11,18,37,85,.435,9,26,.346,14,24,.583,13,32,45,18,3,2,10,13,
L,78,110,30,79,.380,3,24,.125,15,21,.714,12,24,36,20,6,4,11,22,43,79,.544,8,19,.421,16,22,.727,10,37,47,31,6,4,8,14,
L,98,123,33,85,.388,6,21,.286,26,32,.813,15,29,44,20,8,6,18,20,48,92,.522,12,21,.571,15,19,.789,13,33,46,29,14,8,14,25,
W,116,111,46,97,.474,9,23,.391,15,21,.714,19,31,50,28,5,5,11,26,39,88,.443,5,17,.294,28,36,.778,18,32,50,28,5,5,13,20,
L,94,101,34,93,.366,7,16,.438,19,28,.679,17,30,47,16,7,4,5,18,39,79,.494,5,18,.278,18,24,.750,10,37,47,24,4,7,10,21,
L,104,116,41,88,.466,9,27,.333,13,21,.619,19,27,46,23,6,2,9,14,46,76,.605,15,31,.484,9,11,.818,2,24,26,28,6,3,10,19,
W,115,111,38,79,.481,9,23,.391,30,36,.833,13,30,43,18,6,1,13,16,42,88,.477,14,31,.452,13,16,.813,15,22,37,25,8,3,11,24,
W,102,95,37,86,.430,6,17,.353,22,32,.688,16,37,53,14,13,4,15,20,34,89,.382,9,35,.257,18,24,.750,17,31,48,26,9,5,16,23,
L,100,122,34,96,.354,9,28,.321,23,32,.719,21,25,46,19,10,2,15,12,53,93,.570,11,26,.423,5,9,.556,13,34,47,41,8,6,15,24,
L,98,106,40,86,.465,5,17,.294,13,23,.565,15,30,45,12,7,2,11,21,40,81,.494,5,19,.263,21,23,.913,9,30,39,27,6,7,11,19,
L,107,116,35,84,.417,5,20,.250,32,48,.667,21,34,55,25,6,4,14,29,39,81,.481,9,23,.391,29,35,.829,8,32,40,22,8,6,9,35,
L,111,112,42,83,.506,8,19,.421,19,31,.613,15,26,41,20,6,3,17,28,38,86,.442,5,23,.217,31,41,.756,24,25,49,23,10,7,15,22,L,79,89,31,84,.369,6,26,.231,11,19,.579,8,37,45,15,4,5,15,27,30,85,.353,6,24,.250,23,31,.742,14,37,51,17,7,4,15,21,
L,91,97,38,91,.418,7,21,.333,8,13,.615,14,32,46,20,3,5,12,24,37,76,.487,4,10,.400,19,28,.679,10,33,43,18,8,3,12,21,
L,90,102,32,76,.421,1,17,.059,25,35,.714,10,31,41,21,3,3,7,15,42,87,.483,7,26,.269,11,13,.846,12,36,48,18,3,3,8,23,
W,98,95,32,87,.368,11,23,.478,23,33,.697,19,36,55,17,5,4,8,16,39,90,.433,9,20,.450,8,10,.800,11,32,43,25,3,9,9,23,
W,98,95,37,75,.493,11,23,.478,13,24,.542,12,28,40,18,7,5,18,24,36,77,.468,5,20,.250,18,23,.783,9,26,35,26,10,6,13,19,
L,96,97,36,93,.387,6,23,.261,18,25,.720,18,33,51,19,6,2,11,22,33,72,.458,6,15,.400,25,35,.714,9,34,43,20,7,2,11,18,
L,91,102,34,80,.425,7,14,.500,16,25,.640,9,37,46,19,5,6,15,21,39,88,.443,7,20,.350,17,20,.850,9,40,49,22,6,8,10,19,
L,103,107,38,81,.469,9,22,.409,18,22,.818,7,32,39,19,5,6,13,25,40,83,.482,3,11,.273,24,33,.727,11,35,46,27,10,6,11,22,
W</span>,96,89,38,89,.427,11,31,.355,9,15,.600,14,41,55,18,8,5,16,17,38,96,.396,12,36,.333,1,6,.167,10,32,42,23,9,7,14,23,
L,88,95,34,82,.415,10,26,.385,10,17,.588,9,34,43,15,4,6,9,22,32,86,.372,4,15,.267,27,33,.818,18,35,53,18,5,4,8,18,
L,93,107,32,80,.400,11,24,.458,18,24,.750,10,31,41,17,5,4,14,19,41,79,.519,13,26,.500,12,15,.800,6,33,39,33,9,2,11,21,
L,86,88,33,87,.379,7,25,.280,13,19,.684,15,28,43,21,9,1,14,16,37,75,.493,4,15,.267,10,13,.769,5,36,41,21,10,4,17,22,
L,89,99,31,83,.373,4,21,.190,23,24,.958,13,32,45,12,6,3,12,20,38,80,.475,5,24,.208,18,26,.692,8,38,46,20,7,5,9,18,
L,86,98,36,78,.462,7,20,.350,7,17,.412,8,28,36,23,7,5,19,18,39,90,.433,10,22,.455,10,13,.769,19,31,50,22,9,2,16,24,
L,98,104,35,78,.449,10,27,.370,18,24,.750,12,26,38,18,8,4,15,17,37,78,.474,12,28,.429,18,19,.947,9,30,39,21,9,3,15,19,
L,88,104,34,83,.410,6,23,.261,14,25,.560,14,25,39,25,8,5,14,19,39,77,.506,13,29,.448,13,16,.813,10,34,44,30,9,6,19,20,
L,93,104,33,91,.363,11,23,.478,16,24,.667,15,29,44,25,11,5,13,20,37,79,.468,9,21,.429,21,27,.778,9,40,49,24,5,8,16,19,
L,96,106,33,90,.367,6,21,.286,24,31,.774,16,33,49,20,6,5,14,16,39,81,.481,10,17,.588,18,24,.750,12,35,47,25,9,6,14,26,
