L,94,118,34,85,.400,7,21,.333,19,21,.905,9,20,29,13,9,4,13,18,47,77,.610,5,13,.385,19,20,.950,10,36,46,27,6,8,18,24,
W,90,84,34,67,.507,5,15,.333,17,25,.680,9,34,43,22,7,2,21,21,33,77,.429,4,21,.190,14,20,.700,6,27,33,20,13,6,12,21,
W,99,94,36,76,.474,8,21,.381,19,25,.760,6,38,44,19,6,10,12,21,39,83,.470,4,12,.333,12,17,.706,8,30,38,19,5,4,11,19,
L,96,101,35,81,.432,6,17,.353,20,27,.741,9,31,40,18,5,4,7,20,38,88,.432,7,20,.350,18,28,.643,20,35,55,14,3,7,8,20,
L,94,97,32,73,.438,5,14,.357,25,28,.893,6,30,36,13,9,2,14,21,37,77,.481,5,21,.238,18,22,.818,5,32,37,21,11,0,12,20,
W,114,81,43,81,.531,12,26,.462,16,22,.727,9,41,50,29,11,7,17,21,32,84,.381,4,22,.182,13,24,.542,12,24,36,10,11,6,14,18,
W,106,79,41,83,.494,9,19,.474,15,22,.682,9,44,53,28,8,5,13,18,32,84,.381,6,14,.429,9,13,.692,6,35,41,16,6,9,16,22,
W,103,86,38,83,.458,9,28,.321,18,19,.947,8,38,46,16,12,3,17,20,29,76,.382,6,26,.231,22,25,.880,9,27,36,21,6,4,18,19,
W,105,91,38,71,.535,8,19,.421,21,25,.840,5,36,41,28,8,2,17,18,36,77,.468,8,21,.381,11,16,.688,5,23,28,13,9,4,13,22,
W,91,76,34,77,.442,5,25,.200,18,22,.818,8,33,41,22,7,9,11,16,29,80,.363,1,12,.083,17,23,.739,12,36,48,15,5,3,13,22,
L,82,95,32,74,.432,5,14,.357,13,20,.650,7,29,36,16,8,3,22,27,34,78,.436,7,19,.368,20,23,.870,9,30,39,27,12,4,17,18,
W,99,82,39,83,.470,7,22,.318,14,19,.737,14,31,45,20,5,9,15,23,31,68,.456,3,9,.333,17,26,.654,5,28,33,15,9,6,17,18,
W,82,78,28,77,.364,8,24,.333,18,22,.818,10,32,42,17,8,4,13,19,27,79,.342,6,20,.300,18,20,.900,16,33,49,14,7,2,18,25,
W,86,79,32,75,.427,1,11,.091,21,26,.808,11,42,53,17,5,8,15,19,30,81,.370,5,19,.263,14,18,.778,5,31,36,18,7,4,9,25,
L,87,97,35,87,.402,9,27,.333,8,9,.889,14,32,46,19,7,4,16,21,34,75,.453,10,23,.435,19,22,.864,6,28,34,27,8,3,10,14,
W,93,66,37,83,.446,6,13,.462,13,22,.591,11,50,61,25,6,1,15,22,26,81,.321,5,14,.357,9,23,.391,8,33,41,13,8,7,14,25,
W,116,92,45,82,.549,6,16,.375,20,25,.800,11,35,46,24,7,5,13,17,39,92,.424,4,13,.308,10,17,.588,15,25,40,13,8,5,15,21,
W,117,89,43,86,.500,10,23,.435,21,23,.913,7,36,43,26,3,6,5,19,34,85,.400,4,19,.211,17,22,.773,12,34,46,16,2,6,12,22,
W,106,92,38,83,.458,9,19,.474,21,22,.955,13,35,48,17,5,8,12,25,33,83,.398,5,20,.250,21,24,.875,9,30,39,17,3,4,12,18,
W,102,94,41,91,.451,8,19,.421,12,15,.800,17,35,52,19,7,5,14,19,35,86,.407,10,30,.333,14,20,.700,13,32,45,21,7,2,15,22,
L,100,124,38,75,.507,5,15,.333,19,28,.679,10,29,39,14,6,4,20,28,45,83,.542,11,16,.688,23,32,.719,7,28,35,15,9,0,9,23,
W</span>,116,111,41,95,.432,8,24,.333,26,33,.788,14,35,49,25,10,9,12,24,39,101,.386,12,32,.375,21,29,.724,19,34,53,14,3,2,18,32,
L,96,109,37,88,.420,5,12,.417,17,27,.630,10,41,51,20,5,2,16,27,40,83,.482,8,20,.400,21,37,.568,5,41,46,26,8,6,14,21,
W,104,92,42,99,.424,5,21,.238,15,27,.556,17,46,63,23,7,2,4,16,37,94,.394,5,24,.208,13,16,.813,7,43,50,24,3,4,9,18,
L,94,102,38,87,.437,1,15,.067,17,24,.708,14,33,47,15,2,6,15,23,39,91,.429,8,17,.471,16,20,.800,11,35,46,18,6,4,12,21,
W,97,96,31,73,.425,3,15,.200,32,37,.865,12,34,46,17,7,5,23,20,34,77,.442,7,23,.304,21,23,.913,6,21,27,15,15,7,15,28,
W,98,79,38,90,.422,8,25,.320,14,17,.824,13,39,52,21,4,5,9,13,33,83,.398,7,16,.438,6,10,.600,9,29,38,21,5,4,13,18,
W,89,85,34,74,.459,5,18,.278,16,20,.800,7,33,40,20,9,1,19,16,33,76,.434,7,25,.280,12,15,.800,7,31,38,26,8,4,18,19,
W</span>,118,113,42,92,.457,5,13,.385,29,35,.829,11,35,46,22,10,9,12,20,45,104,.433,7,20,.350,16,20,.800,13,34,47,21,3,5,13,27,
L,92,93,35,79,.443,11,24,.458,11,19,.579,7,34,41,19,6,6,15,20,34,83,.410,5,12,.417,20,26,.769,11,37,48,13,9,1,13,16,
