W,101,99,40,88,.455,4,14,.286,17,24,.708,6,37,43,18,12,3,14,25,36,99,.364,3,22,.136,24,30,.800,19,40,59,26,7,9,18,20,
L,95,126,38,80,.475,8,18,.444,11,16,.688,4,36,40,26,9,6,22,22,46,100,.460,16,26,.615,18,23,.783,14,39,53,28,13,6,13,14,
L,93,111,34,86,.395,4,19,.211,21,27,.778,8,30,38,21,9,6,10,18,44,89,.494,13,28,.464,10,18,.556,14,44,58,29,5,9,18,27,
L,104,114,41,95,.432,8,24,.333,14,20,.700,13,29,42,23,12,3,16,19,40,94,.426,11,30,.367,23,33,.697,25,37,62,24,12,14,18,19,
L,92,102,36,78,.462,5,19,.263,15,21,.714,9,29,38,22,7,2,15,20,39,82,.476,6,18,.333,18,23,.783,10,29,39,26,11,2,13,20,
W,95,92,39,77,.506,6,15,.400,11,20,.550,7,43,50,23,6,3,24,22,35,88,.398,5,20,.250,17,26,.654,8,34,42,25,10,6,13,20,
L,86,101,31,84,.369,2,20,.100,22,37,.595,19,26,45,16,11,4,23,18,38,80,.475,8,23,.348,17,20,.850,12,26,38,30,13,12,17,25,
L,78,103,34,97,.351,2,19,.105,8,12,.667,16,26,42,17,9,5,17,20,40,82,.488,6,20,.300,17,20,.850,11,41,52,27,10,10,16,15,
L,99,107,37,88,.420,4,18,.222,21,31,.677,8,36,44,15,8,3,13,25,37,84,.440,5,18,.278,28,35,.800,10,43,53,25,5,12,16,28,
W,110,106,42,88,.477,9,14,.643,17,24,.708,17,37,54,28,8,4,14,24,37,82,.451,15,33,.455,17,24,.708,8,31,39,24,7,12,13,24,
L,95,104,38,89,.427,6,20,.300,13,16,.813,10,32,42,23,8,2,10,18,40,84,.476,8,20,.400,16,22,.727,13,40,53,28,4,6,15,22,
L,91,103,34,90,.378,4,27,.148,19,27,.704,19,25,44,22,15,4,15,22,40,76,.526,4,21,.190,19,25,.760,9,35,44,23,10,8,20,21,
L,113,124,40,87,.460,8,20,.400,25,26,.962,14,23,37,23,11,3,21,27,43,80,.538,9,20,.450,29,35,.829,13,29,42,25,11,12,19,25,
W,95,94,37,86,.430,7,21,.333,14,25,.560,7,33,40,26,8,3,10,24,32,87,.368,7,19,.368,23,30,.767,18,41,59,20,8,7,17,21,
L,99,125,32,87,.368,6,22,.273,29,37,.784,13,33,46,19,10,4,19,25,45,89,.506,8,16,.500,27,34,.794,9,37,46,36,15,4,18,22,
